iter	Passed	Remaining
0	74	73947
1	74	37235
2	75	24978
3	75	18848
4	76	15173
5	76	12716
6	77	10963
7	77	9654
8	78	8633
9	79	7865
10	80	7198
11	80	6636
12	81	6163
13	81	5755
14	82	5400
15	82	5089
16	83	4818
17	83	4575
18	84	4358
19	84	4163
20	85	3987
21	86	3827
22	86	3678
23	87	3542
24	87	3419
25	88	3305
26	88	3198
27	89	3098
28	89	3006
29	90	2919
30	90	2839
31	91	2764
32	91	2693
33	92	2626
34	93	2567
35	93	2508
36	94	2453
37	94	2399
38	95	2348
39	95	2299
40	96	2254
41	96	2212
42	97	2171
43	98	2133
44	98	2096
45	99	2061
46	100	2028
47	100	1996
48	101	1964
49	101	1933
50	102	1904
51	102	1875
52	103	1849
53	104	1823
54	104	1797
55	105	1772
56	105	1748
57	106	1725
58	106	1702
59	107	1680
60	107	1659
61	108	1639
62	108	1619
63	109	1601
64	110	1583
65	110	1565
66	111	1547
67	111	1530
68	112	1513
69	112	1497
70	113	1481
71	113	1466
72	114	1451
73	114	1436
74	115	1422
75	115	1409
76	116	1395
77	117	1383
78	117	1370
79	118	1358
80	118	1346
81	119	1334
82	119	1320
83	120	1308
84	120	1297
85	121	1286
86	121	1277
87	122	1267
88	122	1257
89	123	1247
90	123	1237
91	124	1228
92	125	1219
93	125	1210
94	126	1202
95	126	1193
96	127	1185
97	127	1177
98	128	1169
99	129	1161
100	129	1153
101	130	1145
102	130	1137
103	131	1129
104	131	1122
105	132	1114
106	132	1107
107	133	1099
108	133	1092
109	134	1086
110	134	1080
111	135	1073
112	135	1066
113	136	1060
114	136	1054
115	137	1047
116	137	1040
117	138	1034
118	138	1028
119	139	1022
120	139	1016
121	140	1011
122	141	1005
123	141	1000
124	142	994
125	142	989
126	143	983
127	143	977
128	144	972
129	144	967
130	145	962
131	145	957
132	146	953
133	146	949
134	147	944
135	147	940
136	148	935
137	149	931
138	149	926
139	150	922
140	150	917
141	150	912
142	151	907
143	151	903
144	152	899
145	153	895
146	153	892
147	154	888
148	154	884
149	155	880
150	155	876
151	156	872
152	156	868
153	157	864
154	157	860
155	158	856
156	158	853
157	159	850
158	160	846
159	160	843
160	160	838
161	161	835
162	162	831
163	162	828
164	163	824
165	163	821
166	164	818
167	164	814
168	165	811
169	165	809
170	166	806
171	166	803
172	167	800
173	167	797
174	168	794
175	168	790
176	169	787
177	169	784
178	170	782
179	171	779
180	171	776
181	172	773
182	172	771
183	173	768
184	173	765
185	174	762
186	174	759
187	175	757
188	175	754
189	176	751
190	176	749
191	177	746
192	177	744
193	178	741
194	179	739
195	179	737
196	180	734
197	180	732
198	181	730
199	182	728
200	182	726
201	183	723
202	183	721
203	184	719
204	184	717
205	185	714
206	186	712
207	186	710
208	187	708
209	187	706
210	188	704
211	188	702
212	189	699
213	189	697
214	190	695
215	191	693
216	191	691
217	192	689
218	192	687
219	193	685
220	193	683
221	194	680
222	194	678
223	195	676
224	195	674
225	196	672
226	197	671
227	197	669
228	198	667
229	198	665
230	199	663
231	199	661
232	200	659
233	200	657
234	201	655
235	201	653
236	202	651
237	202	649
238	203	647
239	203	645
240	204	643
241	204	641
242	205	639
243	205	638
244	206	636
245	207	634
246	207	632
247	208	630
248	208	628
249	209	627
250	209	626
251	210	625
252	211	624
253	211	622
254	212	620
255	212	618
256	213	617
257	214	615
258	214	613
259	215	612
260	215	610
261	216	608
262	216	607
263	217	605
264	217	603
265	218	602
266	218	600
267	219	598
268	219	597
269	220	595
270	220	593
271	221	592
272	221	590
273	222	589
274	222	587
275	223	586
276	224	584
277	224	583
278	225	581
279	225	580
280	226	578
281	226	577
282	227	575
283	227	574
284	228	572
285	228	571
286	229	570
287	230	568
288	230	567
289	231	565
290	231	564
291	232	562
292	232	561
293	233	559
294	233	558
295	234	557
296	234	555
297	235	554
298	235	553
299	236	551
300	237	550
301	237	549
302	238	547
303	238	546
304	239	544
305	239	543
306	240	542
307	240	540
308	241	539
309	241	538
310	242	536
311	242	535
312	243	534
313	243	532
314	244	531
315	244	530
316	245	528
317	245	527
318	246	526
319	247	525
320	247	524
321	248	523
322	249	522
323	249	520
324	250	519
325	250	518
326	251	517
327	252	516
328	252	515
329	253	514
330	254	513
331	254	512
332	255	511
333	255	510
334	256	509
335	257	508
336	257	507
337	258	506
338	259	505
339	259	504
340	260	503
341	261	502
342	261	501
343	262	500
344	262	499
345	263	498
346	264	497
347	264	495
348	265	494
349	266	494
350	266	493
351	267	492
352	268	491
353	268	490
354	269	489
355	270	488
356	270	487
357	271	486
358	272	485
359	272	484
360	273	483
361	274	482
362	274	482
363	275	481
364	276	480
365	276	479
366	277	478
367	278	477
368	278	476
369	279	476
370	280	475
371	280	474
372	281	472
373	281	471
374	282	470
375	283	469
376	283	468
377	284	467
378	284	466
379	285	465
380	285	464
381	286	463
382	287	462
383	287	461
384	288	460
385	289	459
386	289	458
387	290	458
388	291	457
389	291	456
390	292	455
391	293	454
392	293	453
393	294	453
394	295	452
395	296	451
396	296	450
397	297	449
398	297	448
399	298	447
400	299	446
401	299	446
402	300	445
403	301	444
404	301	443
405	302	442
406	303	441
407	303	440
408	304	439
409	305	439
410	305	438
411	306	437
412	307	436
413	308	436
414	308	435
415	309	434
416	310	434
417	311	433
418	312	432
419	312	431
420	313	431
421	314	430
422	315	429
423	315	429
424	316	428
425	317	427
426	318	427
427	318	426
428	319	425
429	320	424
430	320	423
431	321	422
432	322	421
433	322	420
434	323	420
435	324	419
436	325	418
437	325	417
438	326	417
439	327	416
440	328	415
441	328	414
442	329	414
443	330	413
444	330	412
445	331	411
446	332	411
447	332	410
448	333	409
449	333	408
450	334	407
451	335	406
452	335	405
453	336	404
454	336	403
455	337	402
456	337	401
457	338	400
458	339	399
459	339	398
460	340	397
461	340	396
462	341	395
463	341	394
464	342	393
465	342	393
466	343	392
467	344	391
468	344	390
469	345	389
470	345	388
471	346	387
472	346	386
473	347	385
474	347	384
475	348	383
476	349	382
477	349	381
478	350	380
479	351	380
480	351	379
481	352	378
482	353	377
483	353	377
484	354	376
485	354	375
486	355	374
487	356	373
488	356	372
489	357	372
490	358	371
491	358	370
492	359	369
493	359	368
494	360	367
495	361	366
496	361	366
497	362	365
498	362	364
499	363	363
500	364	362
501	364	361
502	365	360
503	365	359
504	366	358
505	366	358
506	367	357
507	367	356
508	368	355
509	368	354
510	369	353
511	370	352
512	370	351
513	371	350
514	371	349
515	372	349
516	372	348
517	373	347
518	373	346
519	374	345
520	374	344
521	375	343
522	376	342
523	376	342
524	377	341
525	377	340
526	378	339
527	378	338
528	379	337
529	379	336
530	380	336
531	381	335
532	381	334
533	382	333
534	382	332
535	383	332
536	384	331
537	384	330
538	385	329
539	385	328
540	386	327
541	387	327
542	387	326
543	388	325
544	388	324
545	389	323
546	390	323
547	390	322
548	391	321
549	391	320
550	392	319
551	393	319
552	393	318
553	394	317
554	395	316
555	395	316
556	396	315
557	397	314
558	397	313
559	398	312
560	398	311
561	399	311
562	399	310
563	400	309
564	400	308
565	401	307
566	402	307
567	402	306
568	403	305
569	403	304
570	404	303
571	405	303
572	405	302
573	406	301
574	406	300
575	407	299
576	407	299
577	408	298
578	408	297
579	409	296
580	410	295
581	410	294
582	411	294
583	411	293
584	412	292
585	413	291
586	413	291
587	414	290
588	414	289
589	415	288
590	416	288
591	416	287
592	417	286
593	418	285
594	418	284
595	419	284
596	419	283
597	420	282
598	421	281
599	421	281
600	422	280
601	422	279
602	423	278
603	424	278
604	424	277
605	425	276
606	426	275
607	426	275
608	427	274
609	428	273
610	428	272
611	429	272
612	429	271
613	430	270
614	431	269
615	431	269
616	432	268
617	432	267
618	433	266
619	433	265
620	434	265
621	434	264
622	435	263
623	435	262
624	436	261
625	437	261
626	437	260
627	438	259
628	439	258
629	439	258
630	440	257
631	440	256
632	441	255
633	441	255
634	442	254
635	443	253
636	443	252
637	444	252
638	445	251
639	445	250
640	446	249
641	446	249
642	447	248
643	447	247
644	448	246
645	448	245
646	449	245
647	449	244
648	450	243
649	451	242
650	451	242
651	452	241
652	453	240
653	453	239
654	454	239
655	454	238
656	455	237
657	455	236
658	456	236
659	456	235
660	457	234
661	458	233
662	458	233
663	459	232
664	459	231
665	460	230
666	460	230
667	461	229
668	462	228
669	462	227
670	463	227
671	463	226
672	464	225
673	465	224
674	465	224
675	466	223
676	466	222
677	467	221
678	467	221
679	468	220
680	469	219
681	469	219
682	470	218
683	470	217
684	471	216
685	472	216
686	472	215
687	473	214
688	473	213
689	474	213
690	474	212
691	475	211
692	476	210
693	476	210
694	477	209
695	477	208
696	478	207
697	478	207
698	479	206
699	480	205
700	480	205
701	481	204
702	482	203
703	482	203
704	483	202
705	484	201
706	484	200
707	485	200
708	485	199
709	486	198
710	487	198
711	487	197
712	488	196
713	489	196
714	489	195
715	490	194
716	491	193
717	491	193
718	492	192
719	492	191
720	493	190
721	494	190
722	494	189
723	495	188
724	496	188
725	496	187
726	497	186
727	497	185
728	498	185
729	499	184
730	499	183
731	500	183
732	501	182
733	501	181
734	502	181
735	502	180
736	503	179
737	504	178
738	504	178
739	505	177
740	505	176
741	506	176
742	507	175
743	507	174
744	508	173
745	508	173
746	509	172
747	510	171
748	510	171
749	511	170
750	511	169
751	512	168
752	513	168
753	513	167
754	514	166
755	515	166
756	515	165
757	516	164
758	516	164
759	517	163
760	518	162
761	518	162
762	519	161
763	520	160
764	520	159
765	521	159
766	522	158
767	522	157
768	523	157
769	523	156
770	524	155
771	525	155
772	525	154
773	526	153
774	527	153
775	527	152
776	528	151
777	529	150
778	529	150
779	530	149
780	531	148
781	531	148
782	532	147
783	533	146
784	534	146
785	534	145
786	535	144
787	535	144
788	536	143
789	537	142
790	537	142
791	538	141
792	539	140
793	539	140
794	540	139
795	540	138
796	541	137
797	541	137
798	542	136
799	542	135
800	543	134
801	544	134
802	544	133
803	545	132
804	545	132
805	546	131
806	547	130
807	547	130
808	548	129
809	548	128
810	549	127
811	549	127
812	550	126
813	551	125
814	551	125
815	552	124
816	552	123
817	553	123
818	553	122
819	554	121
820	555	121
821	555	120
822	556	119
823	556	118
824	557	118
825	557	117
826	558	116
827	559	116
828	559	115
829	560	114
830	560	114
831	561	113
832	561	112
833	562	111
834	563	111
835	563	110
836	564	109
837	564	109
838	565	108
839	565	107
840	566	107
841	566	106
842	567	105
843	567	104
844	568	104
845	569	103
846	569	102
847	570	102
848	570	101
849	571	100
850	572	100
851	572	99
852	573	98
853	573	98
854	574	97
855	574	96
856	575	95
857	575	95
858	576	94
859	577	93
860	577	93
861	578	92
862	578	91
863	579	91
864	579	90
865	580	89
866	580	89
867	581	88
868	582	87
869	582	87
870	583	86
871	583	85
872	584	85
873	584	84
874	585	83
875	585	82
876	586	82
877	587	81
878	587	80
879	588	80
880	588	79
881	589	78
882	590	78
883	590	77
884	591	76
885	591	76
886	592	75
887	592	74
888	593	74
889	593	73
890	594	72
891	594	72
892	595	71
893	596	70
894	596	69
895	597	69
896	597	68
897	598	67
898	598	67
899	599	66
900	599	65
901	600	65
902	601	64
903	601	63
904	602	63
905	603	62
906	603	61
907	604	61
908	604	60
909	605	59
910	605	59
911	606	58
912	607	57
913	607	57
914	608	56
915	609	55
916	609	55
917	610	54
918	610	53
919	611	53
920	611	52
921	612	51
922	613	51
923	613	50
924	614	49
925	614	49
926	615	48
927	616	47
928	616	47
929	617	46
930	617	45
931	618	45
932	619	44
933	619	43
934	620	43
935	621	42
936	621	41
937	622	41
938	623	40
939	623	39
940	624	39
941	624	38
942	625	37
943	626	37
944	626	36
945	627	35
946	628	35
947	628	34
948	629	33
949	629	33
950	630	32
951	630	31
952	631	31
953	632	30
954	632	29
955	633	29
956	633	28
957	634	27
958	635	27
959	635	26
960	636	25
961	636	25
962	637	24
963	637	23
964	638	23
965	639	22
966	639	21
967	640	21
968	641	20
969	641	19
970	642	19
971	643	18
972	643	17
973	644	17
974	644	16
975	645	15
976	646	15
977	646	14
978	647	13
979	647	13
980	648	12
981	649	11
982	649	11
983	650	10
984	651	9
985	651	9
986	652	8
987	653	7
988	653	7
989	654	6
990	655	5
991	655	5
992	656	4
993	657	3
994	657	3
995	658	2
996	659	1
997	659	1
998	660	0
999	661	0
